,0,1,2,3
0,261.0,*NSync,Bye Bye Bye,"(Hey, Hey)
Bye, Bye, Bye
Bye, Bye...
Bye, Bye...
Oh, Oh..

I'm doin' this tonight,
You're probably gonna start a fight.
I know this can't be right.
Hey baby come on,
I loved you endlessly,
When you weren't there for me.
So now it's time to leave and make it alone
I know that I can't take no more
It ain't no lie
I wanna see you out that door
Baby, bye, bye, bye...

Bye Bye
Don't wanna be a fool for you
Just another player in your game for two
You may hate me but it ain't no lie,
Baby, bye, bye, bye...
Bye Bye
Don't really wanna make it tough,
I just wanna tell you that I had enough.
It might sound crazy,
But it ain't no lie,
Baby, bye, bye, bye

(Oh, Oh)
Just hit me with the truth,
Now, girl you're more than welcome to.
So give me one good reason,
Baby come on
I live for you and me,
And now I really come to see,
That life would be much better once you're gone.

I know that I can't take no more
It ain't no lie,
I wanna see you out that door
Baby, bye, bye, bye...
Bye Bye
Don't wanna be a fool for you
Just another player in your game for two
You may hate me but it ain't no lie,
Baby Bye, bye, bye...
Bye Bye
Don't really wanna make it tough,
I just wanna tell you that I had enough (ooh ooh)
It might sound crazy,
But it ain't no lie,
Baby, bye, bye, bye

I'm giving up I know for sure
I don't wanna be the reason for your love no more
Bye Bye
I'm checkin' out
I'm signin' off
Don't wanna be the loser and I've had enough

Don't wanna be your fool
In this game for two
So I'm leavin' you behind
Bye, bye, bye...

I don't wanna make it tough (wanna make it tough)
But I had enough
And it ain't no lie (Bye, bye baby...)
Bye, Bye
Don't wanna be a fool for you
Just another player in your game for two (I don't wanna be your fool)
But it ain't no lie
Baby bye, bye, bye...

Don't really wanna make it tough (don't really wanna make it tough),
I just wanna tell you that I had enough (that I had enough).
Might sound crazy,
But it ain't no lie,
Bye, bye, bye"
1,589.0,*NSync,Girlfriend,"Would you be my Girlfriend?
Would you be my Girlfriend?
Would you be my Girlfriend?
I like you, right...
Would you be my Girlfriend?

I don't know why you care
He doesn't even know you're there
Cause he don't love your eyes
And he don't love your smile
Girl you know that ain't fair

In the middle of the night
Is he going to be by your side
Or will he run and hide
You don't know cuz things ain't clear
And baby when you cry
Is he gonna stand by your side
Does the man even know you're alive
I got an idea

CHORUS:
Why don't you be my girlfriend
I'll treat you good
I know you hear your friends when they say
You should
Cuz if you were my girlfriend
I'd be your shining star
The one who'll show you where you are
Girl you should be my girlfriend

Does he know what you feel
Are you sure that it's real
Does he ease your mind
Or does he break your stride
Did you know that love could be a shield

In the middle of the night CORRECTION
Is he going to be BY your side----------------------------------
Or will he run and hide
You don't know cuz things ain't clear
And baby when you cry
Is he gonna stand by your side
Does the man even know you're alive
I got an idea

CHORUS

Ever since I saw your face
Nothing in my life has been the same
I'll walk around just saying your name
Without you, my world would end, yeah
I've looked around this whole, damn place
And everything says you were meant to be
My girlfriend, oh

CHORUS

Girl you should be My girlfriend
Girl you should be My girlfriend
Girl you should be My girlfriend
Girl you should be My girlfriend
Girl you should be My girlfriend
My girlfriend"
2,607.0,*NSync,Gone,"There's a thousand words that I could say
To make you come home,(yeah yeah)
Seems so long ago you walked away...
Left me alone...
And I remember what you
said to me...
You were acting so strange...
mmmmmm...
And maybe I was too blind to see
that you needed a change.

Was it something I said,
To make you turn away,
To make you walked out and leave me cold
(ooouuuuuuh)
If I could just find a way
To make it so that you were right here...
right now...

I've been sitting here
Can't get you off my mind
(cant get you of my mind
I've tried my best to be a man and
be strong
I've drove my self insane
Wishing I could touch your face...
But the truth remains you're
Gone...(your gone...baby your....gone your gone baby girl your.. gone ...your gone...your)

Now, I don’t wanna make excuses baby,
Won’t change the fact that you're gone...
no no...
But if there something that I
could do
Won’t you please let me know...
The time is passing so slowly now...
Guess that my life without you
(guess that my life without you )
And maybe I could change my everyday
But baby I don’t want to.

SO I'll just hang around
And find something’s to do
To take my mind off missing you...
(to take my mind of missing you)
And I know in my heart
You can't say that don’t love me too
Please say you do...
Ye-he-he-a...

I've been sitting here
Can't get you off my mind.
I've tried my best to be a man and be strong
I've drove my self insane
Wishing I could touch your face...
(wishing i could touch your face)
But the truth remains you're
Gone...your ..gone ..your gone ...your gone your ...gone ...your gone

What will I do
If I can't be with you
Tell me where will I turn to
Baby who will I be
Now that we are apart
Am I still in your heart
Baby why don't you see
That I need you here with me...
Oooooooh... ooh....ohhh

I've been sitting here
(sitting here)
can’t get you off my mind.
( cant get you off my mind )
I've tried my best to be a man and
(my best to be a man eh... )
be strong
I've drove my self insane
Wishing I could touch your face...
(Ooooh Oh,)
But the truth remains you’re
(baby the truth remains)
Gone...


Been sitting here
Can't get you off my mind
(cant get you off my mind)
I've tried my best to be a man and be strong
(my best to be a man)
I've drove my self insane
Wishing I could touch your face...
But the truth remains
you're... Gone..your ..gone ..your gone ..your gone...baby girl your gone....your..gone..but the..truth...remains..your.."
3,869.0,*NSync,It's Gonna Be Me,"It's Gunna Be Me

Oh Yea

You might've been hurt, babe
That ain't no lie
You seen them all come and go, oh
I remember you told, me
That it made you believe in
No man, no cry
Maybe that's why

-Chorus-

Every little thing I do
Never seems enough for you
You don't wanna lose it again
But I'm not like them
Baby, when you finally
Get to love somebody
Guess what, It's gunna be me

You've got no choice, babe
But to move on, you know
There ain't no time to waste,
You're just
Too blind,to see
But in the end you know it's gonna be me
You can't deny
So just tell me why

-Chorus-

Every little thing I do
Never seems enough for you
You don't wanna lose it again
But I'm not like them
Baby, when you finally
Get to love somebody
Guess what, It's gunna be me

There comes a day
When I'll be the one
You'll see
It's gonna, gonna, gonna, gonna, It's Gonna Be Meh

All that I do
Is not enough for you
Don't wanna lose it
But I'm not like that
When you finally, get to love somebody
Guess what, guess what

-Chorus-
Every little thing I do
Never seems enough for you
You don't wanna lose it again
But I'm not like them
Baby, when you finally
Get to love somebody
Guess what, It's gunna be me

Every little thing I do
Never seems enough for you
You don't wanna lose it again
But I'm not like them
Baby, when you finally
Get to love somebody
Guess what, It's gunna be me"
4,876.0,,,
5,1295.0,112,Peaches & Cream,"(So hot, hot)
It's the S the L the I the M
Let me tell you what I wanna do
Let me show you that I'm feelin' you
Wanna sex, wanna ride with you
Wanna taste, wanna put my lips all over you
Can't get enough of you
Always thinkin of you
So sweet, so very wet
So good, girl you make me sweat
Girl I'm talkin' 'bout

Peaches and cream
I need it cause you know that I'm a fiend
Gettin' freaky in my Bentley limousine
It's even better when it's with ice cream
Know what I mean

Peaches and cream
I need it cause you know that I'm a fiend
Gettin' freaky in my Bentley limousine (Girl you taste so good to me)
It's even better when it's with ice cream (ooh)
Know what I mean, peaches and cream (ooh-)

I never thought that I would be
So addicted to you
On top, underneath, on the side of you
Better yet baby inside of you
I love the way you're just flowin down
And I can feel it all around
In the front, in the back of you
Ooh I love the taste of you
Girl you know what I'm talking about

Peaches and cream
I need it cause you know that I'm a fiend
Gettin' freaky in my Bentley limousine
It's even better when it's with ice cream
Know what I mean

Peaches and cream
I need it cause you know that I'm a fiend
Gettin' freaky in my Bentley limousine
It's even better when it's with ice cream
Know what I mean, peaches and cream

Girl you know I can't get enough
Wanna taste it in the morning when I'm waking up
Like peach cobbler in my stomach when I eat it up
Got your legs around my neck so I can't get up
See the boys 112 we from the A'
(A')
And when it comes to eating peaches,
Shorty we don't play
So all the ladies in the house if your peaches to share
Put your hands in the air represent your clits

Peaches and cream
I need it cause you know that I'm a fiend
Gettin' freaky in my Bentley limousine
(Girl, you are so tasty)
It's even better when it's with ice cream
Know what I mean

Peaches and cream
I need it cause you know that I'm a fiend
Gettin' freaky in my Bentley limousine
(Oh! Girl, you taste so good to me)
It's even better when it's with ice cream
Know what I mean, peaches and cream

(Oh girl I need it)
I need it cuz you know that I'm a fiend
(I gotta have it)
Getting freaky in my Bentley limosine
(It's always on my mind)
It's even better when it's with ice cream
Know what I mean
Peaches and cream
(I like it in my car)
I need it cuz you know that im a fiend
(Or even in my bed)
Getting freaky in my Bently limosine
(Or baby on the stairs)
It's even better when it's with ice cream
Know what I mean
Peaches and cream

(Oh girl I need it)
I need it cuz you know that im a fiend
(I gotta have it)
Getting freaky in my Bently limosine
(It's always on my mind)
Its even better when its with ice cream
Know what I mean
Peaches and cream

(I like it in my car)
I need it cuz you know that I'm a fiend
(Or even in my bed)
Getting freaky in my Bently limosine
(Or baby on the stairs)
It's even better when its with ice cream
Know what I mean

Peaches and cream
I need it cause you know that I'm a fiend
Gettin' freaky in my Bentley limousine
It's even better when it's with ice cream
Know what I mean

Peaches and cream
I need it cause you know that I'm a fiend
Gettin' freaky in my Bentley limousine
It's even better when it's with ice cream
Know what I mean, peaches and cream"
6,866.0,2 Chainz,It's A Vibe,
7,1869.0,2 Chainz,We Own It (Fast & Furious),
8,33.0,The New Savages,Whole Lot of Shakin' Going On,
9,139.0,21 Savage,Bank Account,
