,song_id,watson_response
0,261,"{'usage': {'text_units': 1, 'text_characters': 1968, 'features': 3}, 'sentiment': {'document': {'score': -0.577952, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.386992, 'joy': 0.182813, 'fear': 0.10821, 'disgust': 0.055193, 'anger': 0.156661}}}, 'categories': [{'score': 0.680946, 'label': '/video gaming/video game genres'}, {'score': 0.628449, 'label': '/music and audio/r&b|soul|funk'}, {'score': 0.595319, 'label': '/family and relationships'}]}"
1,589,"{'usage': {'text_units': 1, 'text_characters': 1603, 'features': 3}, 'sentiment': {'document': {'score': 0.489025, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.23582, 'joy': 0.372822, 'fear': 0.14567, 'disgust': 0.077713, 'anger': 0.074578}}}, 'categories': [{'score': 0.860852, 'label': '/family and relationships/dating'}, {'score': 0.688355, 'label': '/family and relationships/bereavement'}, {'score': 0.661277, 'label': '/family and relationships/divorce'}]}"
2,607,"{'usage': {'text_units': 1, 'text_characters': 2446, 'features': 3}, 'sentiment': {'document': {'score': -0.375006, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.277291, 'joy': 0.32883, 'fear': 0.135825, 'disgust': 0.040059, 'anger': 0.108848}}}, 'categories': [{'score': 0.917245, 'label': '/events and attractions/personal celebrations & life events/baby shower'}, {'score': 0.736335, 'label': '/family and relationships'}, {'score': 0.703333, 'label': '/family and relationships/dating'}]}"
3,869,"{'usage': {'text_units': 1, 'text_characters': 1358, 'features': 3}, 'sentiment': {'document': {'score': -0.729822, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.264181, 'joy': 0.418378, 'fear': 0.146079, 'disgust': 0.03037, 'anger': 0.091318}}}, 'categories': [{'score': 0.750396, 'label': '/family and relationships'}, {'score': 0.72939, 'label': '/family and relationships/dating'}, {'score': 0.653119, 'label': '/pop culture/celebrity pregnancy'}]}"
4,1295,"{'usage': {'text_units': 1, 'text_characters': 3282, 'features': 3}, 'sentiment': {'document': {'score': 0.819664, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.259289, 'joy': 0.484581, 'fear': 0.119381, 'disgust': 0.046315, 'anger': 0.057492}}}, 'categories': [{'score': 0.821322, 'label': '/food & drink/desserts and baking'}, {'score': 0.698806, 'label': '/music and audio/r&b|soul|funk'}, {'score': 0.605732, 'label': '/food & drink/cooking'}]}"
5,580,"{'usage': {'text_units': 1, 'text_characters': 2425, 'features': 3}, 'sentiment': {'document': {'score': -0.701313, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.266559, 'joy': 0.375048, 'fear': 0.170682, 'disgust': 0.062894, 'anger': 0.085227}}}, 'categories': [{'score': 0.798092, 'label': '/music and audio/gospel music'}, {'score': 0.650712, 'label': '/music and audio/hip hop music'}, {'score': 0.611844, 'label': '/music and audio/r&b|soul|funk'}]}"
6,1825,"{'usage': {'text_units': 1, 'text_characters': 3323, 'features': 3}, 'sentiment': {'document': {'score': -0.581437, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.307255, 'joy': 0.346456, 'fear': 0.179503, 'disgust': 0.040185, 'anger': 0.057994}}}, 'categories': [{'score': 0.849578, 'label': '/music and audio/hip hop music'}, {'score': 0.689102, 'label': '/music and audio/r&b|soul|funk'}, {'score': 0.661616, 'label': '/family and relationships/dating'}]}"
7,673,"{'usage': {'text_units': 1, 'text_characters': 1239, 'features': 3}, 'sentiment': {'document': {'score': -0.401128, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.250346, 'joy': 0.499098, 'fear': 0.116336, 'disgust': 0.041208, 'anger': 0.05922}}}, 'categories': [{'score': 0.752896, 'label': '/family and relationships/parenting/parenting babies and toddlers'}, {'score': 0.675091, 'label': '/family and relationships/dating'}, {'score': 0.628561, 'label': '/family and relationships/bereavement'}]}"
8,874,"{'usage': {'text_units': 1, 'text_characters': 803, 'features': 3}, 'sentiment': {'document': {'score': -0.725608, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.181917, 'joy': 0.694282, 'fear': 0.09151, 'disgust': 0.017712, 'anger': 0.033975}}}, 'categories': [{'score': 0.696923, 'label': '/music and audio/r&b|soul|funk'}, {'score': 0.662112, 'label': '/family and relationships'}, {'score': 0.643993, 'label': '/family and relationships/dating'}]}"
9,919,"{'usage': {'text_units': 1, 'text_characters': 1413, 'features': 3}, 'sentiment': {'document': {'score': 0.469197, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.176498, 'joy': 0.406763, 'fear': 0.179648, 'disgust': 0.042304, 'anger': 0.107288}}}, 'categories': [{'score': 0.627025, 'label': '/science/space and astronomy'}, {'score': 0.597332, 'label': '/news and politics/crime'}, {'score': 0.596178, 'label': '/music and audio/r&b|soul|funk'}]}"
10,948,"{'usage': {'text_units': 1, 'text_characters': 1481, 'features': 3}, 'sentiment': {'document': {'score': 0.507554, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.279737, 'joy': 0.375948, 'fear': 0.145305, 'disgust': 0.028375, 'anger': 0.067891}}}, 'categories': [{'score': 0.751599, 'label': '/family and relationships/dating'}, {'score': 0.657854, 'label': '/events and attractions/personal celebrations & life events'}, {'score': 0.656148, 'label': ""/music and audio/children's music""}]}"
11,1903,"{'usage': {'text_units': 1, 'text_characters': 1481, 'features': 3}, 'sentiment': {'document': {'score': 0.507554, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.279737, 'joy': 0.375948, 'fear': 0.145305, 'disgust': 0.028375, 'anger': 0.067891}}}, 'categories': [{'score': 0.751599, 'label': '/family and relationships/dating'}, {'score': 0.657854, 'label': '/events and attractions/personal celebrations & life events'}, {'score': 0.656148, 'label': ""/music and audio/children's music""}]}"
